日期,代码,名称,当前价,涨幅(%),EMA200,建议止损价,绿线,红线,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-19,000639,西王食品,3.62,10.03,3.21,2.95,1.88,1.14,9.51,1318.97,39.08,39.08,0.56
2025-12-19,000650,仁和药业,5.87,0.86,5.77,5.68,-51.86,-55.75,0.93,16.26,82.18,78.15,4.63
2025-12-19,000655,金岭矿业,9.01,2.5,8.02,8.29,-48.94,-50.0,0.92,18.25,53.64,53.64,51.68
2025-12-19,000683,博源化工,7.14,1.85,5.74,6.59,-11.66,-18.51,0.89,18.74,265.38,237.26,34.97
2025-12-19,000705,浙江震元,9.6,0.95,8.92,8.99,-25.35,-29.86,3.12,42.91,32.08,27.07,22.29
2025-12-19,000708,中信特钢,15.66,1.69,12.7,14.72,8.96,2.83,0.27,13.69,790.38,790.38,46.36
2025-12-19,000718,苏宁环球,2.35,2.62,2.33,2.15,-55.6,-58.37,2.56,53.39,71.31,53.63,2.62
2025-12-19,000750,国海证券,4.23,1.68,4.19,4.05,-42.26,-45.88,1.05,28.72,270.14,245.18,-0.24
2025-12-19,000751,锌业股份,4.01,2.3,3.39,3.58,-21.75,-28.94,6.08,94.5,64.79,56.54,42.7
2025-12-19,000755,山西高速,5.15,0.78,4.97,4.91,-48.57,-50.17,0.39,14.51,75.57,75.57,5.97
2025-12-19,000757,浩物股份,5.07,2.84,4.78,4.63,-45.93,-51.72,2.5,47.36,27.01,27.01,35.92
2025-12-19,000758,中色股份,6.16,1.82,5.72,5.78,-29.56,-38.01,1.79,19.12,122.61,121.73,25.97
2025-12-19,000793,ST华闻,2.89,4.71,2.71,2.62,-50.34,-51.86,1.34,-42.71,57.72,56.67,7.84
2025-12-19,000797,中国武夷,4.16,5.58,2.95,3.39,20.3,18.37,12.94,-33.19,65.34,65.34,50.18
2025-12-19,000807,云铝股份,29.23,6.48,18.43,25.35,50.26,45.04,1.71,17.29,1013.68,1013.67,124.33
2025-12-19,000820,*ST节能,3.39,3.99,2.82,3.04,-19.71,-19.81,1.9,-196.38,21.92,10.07,-2.87
2025-12-19,000826,启迪环境,2.33,9.91,2.07,1.96,-45.69,-49.82,7.64,-3.65,33.21,33.21,16.5
2025-12-19,000828,东莞控股,10.87,1.02,10.78,10.54,-57.41,-59.33,0.4,10.14,113.0,113.0,6.36
2025-12-19,000831,中国稀土,45.15,2.99,41.7,41.61,-60.24,-62.45,2.9,186.99,479.14,479.14,60.96
2025-12-19,000878,云南铜业,17.77,2.9,14.27,16.22,-7.59,-8.69,2.72,17.21,356.04,356.04,48.7
2025-12-19,000889,中嘉博创,3.7,2.49,3.4,3.43,-35.89,-40.24,1.75,-88.56,34.64,32.18,42.86
2025-12-19,000911,广农糖业,7.64,2.0,7.54,7.09,-43.47,-45.15,1.43,-522.27,30.58,30.58,6.11
2025-12-19,000917,电广传媒,10.29,10.05,7.88,8.71,41.18,33.71,12.73,82.81,145.87,145.86,45.96
2025-12-19,000920,沃顿科技,12.01,1.95,11.12,11.28,-45.73,-48.0,0.88,21.79,56.76,50.68,37.89
2025-12-19,000922,佳电股份,12.91,3.12,11.74,11.98,4.77,3.35,3.24,34.35,89.72,75.82,15.47
2025-12-19,000928,中钢国际,6.52,1.4,6.38,6.17,-15.27,-17.21,1.7,12.62,93.54,93.54,7.41
2025-12-19,000930,中粮科技,5.83,1.57,5.82,5.59,-44.48,-49.31,0.65,102.51,108.23,108.23,5.05
2025-12-19,000933,神火股份,26.4,3.9,19.64,23.65,9.32,8.44,1.71,12.76,593.74,593.34,60.98
2025-12-19,000969,安泰科技,20.2,4.88,14.57,18.36,29.55,27.0,9.8,56.53,212.25,208.82,84.47
2025-12-19,000981,山子高科,3.32,9.93,2.61,2.85,-45.19,-50.73,8.85,56.99,331.92,315.84,66.0
2025-12-19,000985,大庆华科,19.3,3.76,18.26,17.52,-33.28,-37.41,1.67,141.89,25.02,25.02,3.54
2025-12-19,001202,炬申股份,15.49,2.18,14.1,14.44,-38.08,-40.95,1.24,32.69,25.82,18.1,44.36
2025-12-19,001209,洪兴股份,20.91,3.11,18.48,19.17,-29.29,-32.62,3.95,119.78,27.5,20.09,24.09
2025-12-19,001218,丽臣实业,22.81,2.1,18.99,21.39,-30.44,-35.17,1.13,22.16,29.69,21.19,36.42
2025-12-19,001228,永泰运,26.28,2.18,24.1,24.18,-46.43,-50.98,1.71,21.43,27.3,20.99,30.68
2025-12-19,001231,农心科技,21.76,2.69,20.19,19.83,-38.88,-39.21,4.0,40.98,21.75,10.86,31.56
2025-12-19,001268,联合精密,37.85,4.85,27.9,32.39,40.26,37.38,10.02,51.46,40.85,23.82,122.52
2025-12-19,001259,利仁科技,30.73,4.13,25.7,27.1,-1.26,-5.45,6.01,407.31,22.61,14.61,43.33
2025-12-19,001283,豪鹏科技,68.46,0.23,65.12,64.92,-33.85,-34.25,1.89,29.3,68.42,54.59,19.16
2025-12-19,001322,箭牌家居,8.72,5.06,8.39,7.92,-19.89,-26.8,1.17,194.34,84.34,68.51,9.55
2025-12-19,001332,锡装股份,52.6,4.12,43.34,47.26,-33.08,-36.42,3.64,21.83,58.12,25.25,54.16
2025-12-19,001336,楚环科技,26.32,9.99,22.02,21.83,-15.96,-22.12,8.64,80.58,21.15,12.26,51.0
2025-12-19,001338,永顺泰,12.39,1.98,11.71,11.71,31.09,25.98,2.56,18.43,62.16,62.16,17.11
2025-12-19,001366,播恩集团,13.58,3.98,12.43,12.17,-42.28,-47.35,5.95,-164.29,21.82,7.56,29.7
2025-12-19,002001,新 和 成,24.41,0.91,22.62,23.43,-21.12,-24.59,0.44,10.58,750.22,741.3,15.85
2025-12-19,002012,凯恩股份,6.24,4.7,5.45,5.56,-6.37,-7.91,4.5,125.62,29.18,29.13,20.93
2025-12-19,002038,双鹭药业,7.87,4.65,7.33,7.15,-20.86,-25.48,5.71,42.98,80.85,67.05,5.64
2025-12-19,002046,国机精工,39.63,9.99,23.19,34.95,58.69,57.94,8.38,77.32,212.52,209.56,187.38
2025-12-19,002051,中工国际,9.16,0.33,8.45,8.71,29.68,24.42,1.15,34.44,113.35,113.34,13.93
2025-12-19,002057,中钢天源,10.43,6.21,9.45,9.67,-33.7,-46.25,4.6,26.59,78.63,78.58,46.9
2025-12-19,002060,广东建工,3.67,2.51,3.62,3.47,-57.99,-58.68,1.37,18.51,137.79,57.36,4.26
2025-12-19,002067,景兴纸业,5.15,2.18,4.65,4.72,-65.58,-67.47,3.27,139.41,75.95,68.89,30.05
2025-12-19,002074,国轩高科,38.0,1.12,31.97,35.83,-46.19,-46.37,1.53,20.41,689.22,659.61,79.92
2025-12-19,002099,海翔药业,6.0,0.5,5.76,5.67,-36.78,-40.16,0.59,999.17,97.12,96.94,16.28
2025-12-19,002109,兴化股份,3.63,1.68,3.6,3.34,-35.32,-36.94,0.98,-8.21,46.33,46.33,14.51
2025-12-19,002116,中国海诚,10.37,1.37,10.24,9.85,-45.02,-45.13,0.86,15.42,48.3,47.45,7.24
2025-12-19,002126,银轮股份,34.07,0.62,30.85,31.9,-0.91,-4.01,1.96,32.09,287.43,270.03,83.17
2025-12-19,002138,顺络电子,34.47,1.53,31.16,32.32,-42.85,-43.81,1.42,27.1,277.94,260.77,11.59
2025-12-19,002135,东南网架,4.59,2.91,4.37,4.28,-31.85,-40.81,1.39,75.42,51.2,47.91,9.81
2025-12-19,002133,广宇集团,3.47,10.16,3.12,2.87,-27.39,-27.71,6.85,21.29,26.86,26.71,38.8
2025-12-19,002144,宏达高科,12.81,3.14,12.15,11.77,-41.33,-43.1,2.68,28.59,22.64,17.63,23.65
2025-12-19,002145,钛能化学,4.87,3.62,4.69,4.45,-53.46,-55.86,1.56,43.99,185.38,181.6,15.4
2025-12-19,002148,北纬科技,8.48,1.19,8.29,8.06,-64.32,-66.79,1.93,-12910.06,47.4,38.1,28.68
2025-12-19,002154,报 喜 鸟,4.05,3.05,3.96,3.75,-43.33,-48.84,3.72,18.79,59.1,47.78,-7.11
2025-12-19,002161,远 望 谷,7.16,1.7,6.99,6.78,-55.33,-59.61,1.39,27.45,52.97,50.46,28.78
2025-12-19,002167,东方锆业,12.12,2.02,11.52,11.3,-35.82,-36.98,2.11,182.05,93.89,91.8,65.12
2025-12-19,002170,芭田股份,11.96,1.7,10.44,11.15,-21.01,-24.48,2.91,12.64,115.73,93.84,44.27
2025-12-19,002168,*ST惠程,3.51,0.57,3.46,3.31,-68.94,-69.26,0.31,-47.77,27.52,27.52,26.71
2025-12-19,002171,楚江新材,12.14,1.85,9.93,11.34,25.19,22.32,4.03,41.61,197.02,195.91,48.05
2025-12-19,002176,江特电机,9.44,2.39,8.55,8.57,-34.34,-35.34,3.52,-106.99,161.08,161.05,27.4
2025-12-19,002190,成飞集成,35.99,0.87,33.72,33.8,-66.73,-68.05,1.63,-280.55,129.11,129.11,86.09
2025-12-19,002195,岩山科技,6.73,1.51,6.39,6.35,-57.23,-60.1,1.91,156.78,381.63,376.96,69.52
2025-12-19,002203,海亮股份,11.78,1.46,10.79,10.89,-17.82,-19.76,0.49,21.9,269.97,260.59,12.4
2025-12-19,002204,大连重工,7.89,10.04,6.29,6.79,44.16,40.57,3.02,23.34,152.39,152.39,60.04
2025-12-19,002205,国统股份,13.6,1.49,12.22,12.35,-30.86,-31.42,2.0,-86.44,25.27,25.27,52.64
2025-12-19,002207,准油股份,7.33,0.83,7.19,6.72,-51.67,-52.86,4.6,-45.21,19.21,19.12,48.68
2025-12-19,002212,天融信,8.65,1.29,8.6,8.21,-51.94,-52.63,1.52,-32.5,102.02,100.93,34.53
2025-12-19,002218,拓日新能,4.25,0.47,3.58,3.88,26.05,25.08,5.06,-41.34,60.05,59.18,7.32
2025-12-19,002236,大华股份,18.68,0.97,17.29,17.97,-36.34,-40.34,1.3,13.02,613.97,395.26,21.61
2025-12-19,002234,民和股份,8.78,2.81,8.78,8.09,-48.24,-50.5,1.76,-9.98,30.64,26.46,-1.24
2025-12-19,002245,蔚蓝锂芯,15.99,1.52,15.37,15.14,-43.19,-47.6,2.14,26.97,184.49,173.52,50.42
2025-12-19,002250,联化科技,12.19,1.08,10.04,11.22,-16.89,-20.69,2.58,26.05,109.69,109.1,122.04
2025-12-19,002247,聚力文化,2.89,2.48,2.74,2.63,-49.95,-54.5,2.75,43.74,24.59,18.6,13.33
2025-12-19,002255,海陆重工,12.62,6.32,9.23,11.14,4.64,3.32,25.89,24.6,104.86,80.51,129.04
2025-12-19,002259,升达林业,3.87,2.38,3.8,3.6,-54.05,-56.95,0.91,111.47,29.12,29.12,62.61
2025-12-19,002263,大东南,3.34,3.09,3.25,3.08,-47.68,-49.55,2.53,390.21,62.74,62.74,34.68
2025-12-19,002275,桂林三金,14.74,1.24,14.4,14.12,-38.68,-39.08,0.37,16.86,86.61,82.4,1.38
2025-12-19,002297,博云新材,10.42,2.26,8.2,9.48,42.28,40.75,9.01,149.11,59.72,59.72,51.45
2025-12-19,002298,中电鑫龙,10.26,1.58,8.54,9.43,-39.92,-40.63,4.23,208.9,75.94,67.78,92.86
2025-12-19,002299,圣农发展,16.43,3.59,16.03,15.23,-21.61,-23.64,1.47,13.22,204.24,201.4,19.23
2025-12-19,002303,美盈森,4.0,2.3,3.8,3.75,-58.17,-59.8,2.65,17.66,61.25,38.68,18.34
2025-12-19,002305,*ST南置,2.28,2.7,2.23,2.05,-39.32,-43.17,1.51,-2.26,39.54,39.54,14.57
2025-12-19,002314,南山控股,2.91,2.11,2.77,2.67,-56.66,-56.7,3.28,17.91,78.8,38.94,22.27
2025-12-19,002323,雅博股份,1.68,3.07,1.68,1.54,-49.42,-49.77,2.54,-44.31,35.63,35.62,3.7
2025-12-19,002326,永太科技,23.05,4.49,15.19,19.64,-25.15,-25.7,8.46,491.28,213.24,186.28,157.83
2025-12-19,002328,新朋股份,6.72,1.66,6.09,6.23,-9.67,-10.29,2.69,27.45,51.86,38.36,12.19
2025-12-19,002330,得利斯,5.15,4.67,4.76,4.58,-28.76,-33.06,3.8,454.11,32.72,32.71,17.85
2025-12-19,002333,罗普斯金,5.69,1.61,5.52,5.29,-39.24,-43.91,1.53,65.47,38.4,37.13,10.7
2025-12-19,002339,积成电子,9.04,5.12,7.82,8.06,38.09,36.45,14.89,-44.88,45.57,43.28,31.59
2025-12-19,002344,海宁皮城,5.02,4.15,4.43,4.51,10.22,6.42,3.75,80.85,64.39,64.33,8.89
2025-12-19,002358,森源电气,5.69,3.64,5.36,5.2,17.0,16.67,4.4,27.61,52.9,52.9,24.24
2025-12-19,002366,融发核电,7.45,4.49,7.11,6.87,-14.67,-16.6,9.05,-158.64,155.03,93.61,62.31
2025-12-19,002380,科远智慧,26.63,0.6,25.98,25.56,-24.65,-30.42,1.63,22.08,63.91,37.75,44.41
2025-12-19,002386,天原股份,5.46,3.8,5.02,5.01,-36.89,-41.61,1.64,168.18,71.07,71.06,19.47
2025-12-19,002388,ST新亚,5.87,3.89,4.63,5.31,-40.13,-42.52,2.26,1330.06,29.98,29.72,71.14
2025-12-19,002404,嘉欣丝绸,7.26,1.82,6.4,6.63,15.01,10.67,4.07,20.04,40.66,33.09,23.26
2025-12-19,002412,汉森制药,6.83,2.71,6.42,6.3,-22.41,-25.56,1.96,31.23,34.37,34.0,13.64
2025-12-19,002431,棕榈股份,2.45,4.26,2.39,2.2,-51.48,-53.1,2.34,-6.44,44.16,44.16,17.22
2025-12-19,002434,万里扬,9.08,2.48,8.17,8.47,9.54,4.38,1.47,26.24,119.18,119.07,48.85
2025-12-19,002437,誉衡药业,3.18,3.25,3.03,2.97,-47.78,-53.18,2.15,21.84,70.98,66.76,27.71
2025-12-19,002452,长高电新,8.11,1.5,7.49,7.72,2.05,-1.13,2.71,18.61,50.31,41.84,10.94
2025-12-19,002454,松芝股份,8.66,2.61,7.85,8.14,-17.59,-17.65,1.22,19.18,54.44,54.3,35.31
2025-12-19,002470,金正大,1.79,2.29,1.78,1.66,-45.9,-47.4,1.82,-149.66,58.82,58.81,-8.67
2025-12-19,002472,双环传动,41.44,4.07,36.72,38.05,10.68,8.5,3.6,29.39,352.06,312.96,37.13
2025-12-19,002481,双塔食品,5.45,2.06,5.44,5.03,-53.5,-56.19,2.09,146.4,67.24,60.93,1.3
2025-12-19,002489,浙江永强,4.02,5.51,3.71,3.62,-25.14,-33.64,3.5,9.64,87.19,76.9,25.63
2025-12-19,002490,山东墨龙,6.37,1.11,5.59,5.73,-51.56,-52.11,4.89,701.85,50.82,34.51,129.14
2025-12-19,002494,华斯股份,5.34,3.89,4.94,4.78,-48.86,-53.56,3.23,-342.72,20.15,15.31,33.83
2025-12-19,002496,*ST辉丰,1.67,1.21,1.61,1.57,-47.59,-49.79,0.7,-585.06,25.18,18.58,-10.22
2025-12-19,002501,利源股份,2.39,10.14,2.25,2.04,-40.86,-50.26,5.22,-71.96,84.84,84.76,49.38
2025-12-19,002513,蓝丰生化,6.77,1.65,5.91,6.05,-45.56,-45.65,5.05,-24.71,25.43,17.95,51.12
2025-12-19,002516,旷达科技,6.49,1.09,5.51,6.17,30.43,30.36,0.89,52.89,95.46,94.82,30.06
2025-12-19,002528,ST英飞拓,2.85,0.35,2.78,2.69,-46.5,-47.27,0.82,-34.56,34.16,29.93,-0.35
2025-12-19,002553,南方精工,25.75,1.94,25.01,24.09,-50.13,-50.3,3.23,18.62,91.0,64.58,101.8
2025-12-19,002554,惠博普,3.07,2.33,2.93,2.78,-54.16,-54.7,1.79,291.72,40.95,40.94,22.31
2025-12-19,002556,辉隆股份,5.95,2.59,5.69,5.54,-17.39,-23.78,1.6,25.65,56.32,56.26,10.59
2025-12-19,002563,森马服饰,5.68,2.53,5.59,5.24,-19.24,-19.69,1.96,21.38,153.02,125.44,-12.88
2025-12-19,002562,兄弟科技,6.37,2.25,5.76,5.96,-45.45,-46.88,2.64,53.82,72.8,44.69,49.88
2025-12-19,002582,好想你,10.89,5.32,9.97,9.67,25.93,15.18,12.68,-776.56,48.76,37.49,48.97
2025-12-19,002603,以岭药业,17.56,1.15,15.56,16.6,-42.11,-43.38,0.88,21.99,293.38,241.77,11.78
2025-12-19,002602,世纪华通,17.38,3.76,12.83,15.32,-31.17,-36.96,2.22,22.05,1281.25,1181.51,238.13
2025-12-19,002614,奥佳华,7.84,1.82,6.82,7.08,18.12,16.7,15.17,66.33,48.88,34.57,20.25
2025-12-19,002612,朗姿股份,20.19,4.23,17.6,18.34,-26.83,-34.25,5.08,6.78,89.33,51.43,26.5
2025-12-19,002620,ST瑞和,5.21,1.17,4.67,4.67,-50.2,-52.15,1.72,-26.21,19.67,16.43,16.04
2025-12-19,002626,金达威,18.88,1.4,18.26,17.87,-27.17,-32.76,0.94,23.93,115.16,115.14,28.44
2025-12-19,002633,申科股份,17.14,2.63,14.89,15.72,-28.88,-29.52,2.19,313.78,25.71,25.61,59.44
2025-12-19,002634,棒杰股份,5.58,5.68,4.49,4.8,-16.52,-16.91,3.38,-2.12,25.63,24.92,48.4
2025-12-19,002638,勤上股份,3.21,5.59,2.46,2.78,-1.5,-4.35,4.0,-19.37,46.11,43.42,42.67
2025-12-19,002652,扬子新材,3.62,2.26,3.4,3.29,-52.34,-55.86,3.02,-89.08,18.54,18.54,28.37
2025-12-19,002663,普邦股份,2.03,3.05,1.94,1.83,-52.25,-54.18,2.66,-67.21,34.98,26.25,2.01
2025-12-19,002662,峰璟股份,3.97,3.93,3.69,3.67,-12.27,-13.71,2.13,21.93,59.55,59.55,4.47
2025-12-19,002668,TCL智家,10.84,2.07,10.42,10.13,-10.7,-12.47,1.15,9.02,117.52,117.52,-17.38
2025-12-19,002666,德联集团,5.48,10.04,5.0,4.72,-39.22,-50.33,2.6,40.46,43.18,27.44,28.34
2025-12-19,002672,东江环保,4.9,2.3,4.62,4.58,-46.54,-49.75,0.57,-7.26,54.16,44.35,15.84
2025-12-19,002678,珠江钢琴,4.9,3.81,4.82,4.45,-54.21,-57.15,1.03,-22.88,66.56,66.52,9.62
2025-12-19,002677,浙江美大,8.29,9.95,7.27,7.04,-25.5,-32.61,4.61,224.48,53.56,44.34,17.76
2025-12-19,002687,乔治白,4.96,3.98,4.64,4.5,-40.7,-48.65,2.6,78.7,25.04,20.51,13.24
2025-12-19,002696,百洋股份,7.11,5.18,6.19,6.3,-26.42,-33.37,3.65,51.12,24.63,23.78,50.32
2025-12-19,002708,光洋股份,12.47,2.21,12.01,11.65,-14.7,-19.74,2.07,82.67,70.09,64.1,11.94
2025-12-19,002713,*ST东易,10.45,5.03,6.41,8.83,-31.63,-32.18,6.91,-56.44,43.84,43.0,159.31
2025-12-19,002732,燕塘乳业,18.09,3.43,17.02,16.45,-11.13,-16.57,4.48,40.04,28.46,28.31,16.26
2025-12-19,002731,萃华珠宝,12.96,0.86,12.53,11.92,-39.34,-40.21,2.95,14.32,33.2,29.76,39.35
2025-12-19,002739,万达电影,11.64,2.02,11.41,10.7,2.7,-6.53,2.85,26.03,245.81,242.75,-4.12
2025-12-19,002742,*ST三圣,4.73,2.16,4.61,4.42,-44.83,-45.45,0.64,-13.65,32.36,24.78,20.36
2025-12-19,002745,木林森,9.25,0.98,8.67,8.68,-17.41,-21.52,2.92,49.21,137.29,98.48,6.69
2025-12-19,002753,永东股份,7.23,1.83,6.94,6.68,-34.97,-35.11,2.35,41.67,27.16,17.56,18.14
2025-12-19,002762,*ST金比,7.09,5.04,6.59,6.4,-58.7,-60.08,1.33,-23.84,25.1,14.99,23.3
2025-12-19,002763,汇洁股份,7.34,3.67,6.82,6.78,-45.6,-51.97,1.83,18.5,30.09,22.28,18.58
2025-12-19,002780,三夫户外,14.97,4.39,13.32,13.42,-30.19,-30.73,7.16,87.52,24.75,19.56,18.34
2025-12-19,002793,罗欣药业,5.01,2.45,4.94,4.63,-59.8,-61.57,1.23,178.25,54.49,54.41,31.15
2025-12-19,002800,天顺股份,14.02,3.16,13.67,12.72,-43.08,-43.27,2.72,-126.32,21.35,19.64,36.25
2025-12-19,002803,吉宏股份,16.62,6.06,15.29,14.83,-17.99,-19.78,6.01,26.04,74.86,47.99,34.57
2025-12-19,002807,江阴银行,4.72,0.64,4.52,4.52,-33.06,-39.55,1.21,6.82,116.18,116.02,16.54
2025-12-19,002810,山东赫达,13.22,3.36,12.68,12.24,-23.2,-29.24,2.15,24.76,45.99,42.58,4.92
2025-12-19,002816,*ST和科,20.71,2.37,17.78,19.02,-40.33,-45.69,1.53,230.66,20.71,20.71,40.6
2025-12-19,002817,黄山胶囊,7.95,3.38,7.43,7.28,-42.43,-47.52,1.77,36.35,23.78,23.06,28.23
2025-12-19,002821,凯莱英,94.79,4.13,92.6,86.99,-15.4,-19.38,2.08,32.03,341.81,300.48,26.4
2025-12-19,002824,和胜股份,17.77,1.08,17.63,16.74,-54.06,-55.92,1.23,41.35,55.3,33.61,14.42
2025-12-19,002823,凯中精密,15.67,2.96,15.11,14.68,-38.26,-41.54,3.06,21.55,51.46,34.3,13.22
2025-12-19,002829,星网宇达,28.52,1.1,22.11,25.65,-7.29,-15.29,10.64,115.83,59.27,41.65,50.42
2025-12-19,002841,视源股份,37.72,0.16,37.01,36.36,-45.44,-47.48,0.58,22.71,262.54,196.65,4.11
2025-12-19,002850,科达利,150.36,0.53,134.33,140.51,-39.87,-40.83,1.06,26.06,411.64,296.36,57.15
2025-12-19,002872,ST天圣,4.87,1.67,4.63,4.59,-52.36,-54.68,1.42,-25.62,15.49,10.47,7.27
2025-12-19,002875,安奈儿,15.98,2.77,15.62,14.76,-56.51,-59.87,2.45,-40.7,34.04,29.15,23.3
2025-12-19,002878,元隆雅图,18.09,3.91,18.05,16.12,-30.99,-32.33,7.94,395.58,47.39,42.68,9.77
2025-12-19,002884,凌霄泵业,17.81,0.85,16.55,17.17,12.09,6.08,1.01,13.6,63.7,48.63,3.13
2025-12-19,002887,绿茵生态,9.37,3.31,8.47,8.6,-42.5,-48.28,1.89,30.57,28.67,18.23,39.43
2025-12-19,002890,弘宇股份,14.59,1.6,13.52,13.57,-58.55,-61.09,1.06,156.22,24.78,23.56,48.42
2025-12-19,002895,川恒股份,35.44,0.17,26.38,32.66,-17.4,-19.94,1.23,16.75,215.36,211.44,53.42
2025-12-19,002899,英派斯,25.74,3.46,22.69,23.85,23.32,21.85,3.43,56.22,38.04,38.04,15.17
2025-12-19,002909,集泰股份,6.88,2.38,6.34,6.24,-24.97,-31.27,2.4,-466.79,26.83,26.17,41.27
2025-12-19,002918,蒙娜丽莎,14.29,2.29,11.26,13.18,-26.09,-33.83,1.76,54.42,58.42,30.45,37.93
2025-12-19,002935,天奥电子,19.63,2.88,15.97,17.98,44.35,42.96,3.34,410.15,83.25,81.48,22.31
2025-12-19,002941,新疆交建,16.26,1.43,13.76,15.3,-36.48,-39.85,1.88,19.81,118.66,118.66,47.55
2025-12-19,002953,日丰股份,11.59,1.93,11.58,10.8,-39.47,-42.07,2.47,30.74,56.97,24.65,16.37
2025-12-19,002957,科瑞技术,19.38,0.21,17.58,18.45,-29.19,-30.73,1.46,24.73,81.39,81.14,24.87
2025-12-19,002963,豪尔赛,15.14,3.98,13.23,13.53,-34.36,-39.71,3.63,-64.88,22.76,17.29,32.11
2025-12-19,002975,博杰股份,73.39,0.04,47.27,66.93,-15.34,-19.73,4.05,83.45,117.65,77.69,141.97
