日期,代码,当前价,涨幅(%),建议止损价,FVG
2025-09-17,001308,23.14,1.76,21.84,bull
2025-09-17,001309,131.49,4.77,114.34,bull
2025-09-17,001311,26.03,2.64,23.66,bull
2025-09-17,001319,29.27,0.27,27.71,bull
2025-09-17,001326,40.85,4.82,36.48,bull
2025-09-17,001332,51.41,1.12,45.94,bull
2025-09-17,001379,21.03,0.1,20.07,bull
2025-09-17,001400,77.18,-5.35,70.51,bull
2025-09-17,001391,6.78,-0.44,6.63,bull
2025-09-17,001389,76.66,0.6,69.29,bull
2025-09-17,001387,14.07,-0.21,13.55,bull
2025-09-17,002005,2.42,1.68,2.26,bull
2025-09-17,002010,6.39,0.63,5.95,bull
2025-09-17,002040,10.17,2.11,9.21,bull
2025-09-17,002048,34.22,-1.38,31.2,bull
2025-09-17,002050,41.9,6.81,37.56,bull
2025-09-17,002054,6.71,-1.18,6.42,bull
2025-09-17,002058,26.9,2.2,23.72,bull
2025-09-17,002059,6.07,9.96,5.53,bull
2025-09-17,002067,6.51,9.97,6.05,bull
2025-09-17,002081,3.69,0.82,3.54,bull
2025-09-17,002090,11.07,1.56,10.27,bull
2025-09-17,002095,20.94,-1.23,19.85,bull
2025-09-17,002103,10.36,1.77,9.79,bull
2025-09-17,002117,11.99,-0.91,11.35,bull
2025-09-17,002126,43.9,10.0,38.95,bull
2025-09-17,002122,4.39,-0.68,4.1,bull
2025-09-17,002127,3.83,-1.79,3.67,bull
2025-09-17,002131,6.3,-1.25,5.58,bull
2025-09-17,002133,3.64,-1.62,3.39,bull
2025-09-17,002137,9.42,4.2,8.54,bull
2025-09-17,002139,15.76,3.01,14.59,bull
2025-09-17,002140,11.69,-1.1,10.76,bull
2025-09-17,002146,1.99,-6.13,1.81,bull
2025-09-17,002154,4.38,3.3,4.22,bull
2025-09-17,002161,8.27,-1.08,7.77,bull
2025-09-17,002158,26.74,-3.43,23.79,bull
2025-09-17,002172,4.64,-1.9,4.33,bull
2025-09-17,002183,5.75,-4.8,5.36,bull
2025-09-17,002184,14.64,1.1,13.49,bull
2025-09-17,002210,3.83,-1.03,3.4,bull
2025-09-17,002215,12.7,-0.39,11.88,bull
2025-09-17,002219,2.49,4.18,2.26,bull
2025-09-17,002224,4.55,0.22,4.38,bull
2025-09-17,002249,10.8,5.47,9.62,bull
2025-09-17,002271,12.74,2.58,11.81,bull
2025-09-17,002272,16.82,-1.92,15.08,bull
2025-09-17,002278,10.23,-3.03,9.56,bull
2025-09-17,002279,7.07,-1.53,6.7,bull
2025-09-17,002283,7.16,-0.56,6.78,bull
2025-09-17,002289,36.73,5.0,32.87,bull
2025-09-17,002290,39.21,-0.63,36.09,bull
2025-09-17,002291,6.42,-2.58,6.07,bull
2025-09-17,002292,9.72,-1.22,9.17,bull
2025-09-17,002310,2.72,-1.45,2.54,bull
2025-09-17,002320,8.86,-3.38,8.33,bull
2025-09-17,002328,6.57,1.08,6.19,bull
2025-09-17,002337,6.29,0.8,5.99,bull
2025-09-17,002334,9.9,1.43,9.23,bull
2025-09-17,002347,8.05,-0.37,7.39,bull
2025-09-17,002354,7.59,2.29,6.88,bull
2025-09-17,002362,25.05,0.2,23.31,bull
2025-09-17,002363,8.3,3.11,7.66,bull
2025-09-17,002377,3.12,-0.32,2.99,bull
2025-09-17,002376,7.82,-0.38,7.48,bull
2025-09-17,002397,3.85,-1.28,3.67,bull
2025-09-17,002400,8.89,-3.89,8.28,bull
2025-09-17,002420,7.59,1.61,7.0,bull
2025-09-17,002426,3.9,1.83,3.53,bull
2025-09-17,002434,9.67,6.85,8.59,bull
2025-09-17,002444,33.76,1.69,30.93,bull
2025-09-17,002445,2.98,0.68,2.78,bull
2025-09-17,002451,6.94,-0.14,6.66,bull
2025-09-17,002449,9.62,0.0,9.17,bull
2025-09-17,002456,13.82,1.47,12.7,bull
2025-09-17,002454,8.96,0.67,8.47,bull
2025-09-17,002472,48.25,8.26,42.15,bull
2025-09-17,002480,7.11,-1.93,6.76,bull
2025-09-17,002486,2.95,-1.34,2.79,bull
2025-09-17,002489,3.92,-1.01,3.77,bull
2025-09-17,002492,7.95,-0.75,7.46,bull
2025-09-17,002494,5.13,-1.35,4.85,bull
2025-09-17,002501,2.74,10.04,2.31,bull
2025-09-17,002527,20.9,-0.62,19.35,bull
2025-09-17,002526,4.3,-1.15,4.08,bull
2025-09-17,002523,3.86,-1.03,3.71,bull
2025-09-17,002530,13.14,2.1,11.61,bull
2025-09-17,002535,4.43,-2.42,4.19,bull
2025-09-17,002551,4.36,0.93,4.01,bull
2025-09-17,002553,33.09,-0.57,29.84,bull
2025-09-17,002563,5.49,-1.79,5.27,bull
2025-09-17,002575,8.88,-1.22,8.32,bull
2025-09-17,002576,19.27,1.31,17.85,bull
2025-09-17,002577,21.47,3.22,19.77,bull
2025-09-17,002581,8.6,-2.38,8.03,bull
2025-09-17,002584,8.56,0.59,8.21,bull
2025-09-17,002586,3.82,0.53,3.58,bull
2025-09-17,002587,6.41,0.94,6.08,bull
2025-09-17,002589,3.03,-0.66,2.92,bull
2025-09-17,002593,5.44,0.18,5.1,bull
2025-09-17,002599,9.36,1.52,8.72,bull
2025-09-17,002611,19.02,6.02,16.7,bull
2025-09-17,002616,7.28,2.82,6.63,bull
2025-09-17,002617,10.81,9.97,9.9,bull
2025-09-17,002622,4.3,1.18,3.84,bull
2025-09-17,002631,5.29,9.98,4.56,bull
2025-09-17,002640,5.9,-2.16,5.37,bull
2025-09-17,002641,4.22,-0.71,4.05,bull
2025-09-17,002647,6.78,4.95,6.52,bull
2025-09-17,002652,3.83,1.06,3.53,bull
2025-09-17,002662,4.0,0.5,3.8,bull
2025-09-17,002664,33.32,7.1,28.26,bull
2025-09-17,002676,10.85,-4.24,9.84,bull
2025-09-17,002677,7.78,10.04,6.95,bull
2025-09-17,002682,4.74,-0.63,4.51,bull
2025-09-17,002686,6.79,0.3,6.46,bull
2025-09-17,002689,4.43,0.23,4.17,bull
2025-09-17,002708,12.95,0.15,12.1,bull
2025-09-17,002705,16.03,1.97,15.12,bull
2025-09-17,002713,5.12,1.59,4.74,bull
2025-09-17,002718,23.36,6.23,19.84,bull
2025-09-17,002747,26.39,1.54,24.5,bull
2025-09-17,002752,5.73,0.7,5.5,bull
2025-09-17,002766,5.66,-0.7,5.39,bull
2025-09-17,002765,14.55,4.45,13.01,bull
2025-09-17,002787,8.64,2.73,7.99,bull
2025-09-17,002790,7.52,0.27,7.2,bull
2025-09-17,002801,38.79,2.11,35.56,bull
2025-09-17,002822,3.53,1.15,3.33,bull
2025-09-17,002823,17.38,1.64,16.22,bull
2025-09-17,002833,17.24,0.47,16.55,bull
2025-09-17,002835,18.2,0.39,17.41,bull
2025-09-17,002843,23.74,-0.38,21.94,bull
2025-09-17,002850,171.33,4.37,148.5,bull
2025-09-17,002861,18.66,0.92,17.14,bull
2025-09-17,002860,13.97,1.9,12.81,bull
2025-09-17,002862,19.79,-1.3,18.69,bull
2025-09-17,002864,31.6,1.25,29.58,bull
2025-09-17,002870,39.9,2.91,36.66,bull
2025-09-17,002877,9.24,0.98,8.76,bull
2025-09-17,002888,18.98,0.11,18.07,bull
2025-09-17,002890,15.15,1.13,14.16,bull
2025-09-17,002892,16.0,2.56,14.72,bull
2025-09-17,002899,21.43,-1.24,20.11,bull
2025-09-17,002896,105.47,-0.12,95.38,bull
2025-09-17,002898,14.71,-2.97,13.66,bull
2025-09-17,002903,24.49,-1.45,22.89,bull
2025-09-17,002918,15.25,5.98,13.35,bull
2025-09-17,002921,16.46,0.18,15.39,bull
2025-09-17,002923,14.18,1.72,13.21,bull
2025-09-17,002928,9.96,1.63,9.26,bull
2025-09-17,002931,16.19,-1.04,15.35,bull
2025-09-17,002933,34.23,-0.03,32.45,bull
2025-09-17,002937,18.97,-0.47,18.06,bull
2025-09-17,002939,12.54,5.47,11.05,bull
2025-09-17,002953,13.17,0.84,11.91,bull
2025-09-17,002952,20.1,-0.4,19.36,bull
2025-09-17,002960,12.9,4.45,11.62,bull
2025-09-17,002965,47.33,4.07,41.88,bull
2025-09-17,002969,3.61,-0.55,3.5,bull
2025-09-12,002968,13.08,10.01,11.29,bull
2025-09-17,002981,34.76,-0.83,31.86,bull
2025-09-17,002979,52.87,4.38,47.29,bull
2025-09-17,002995,19.09,2.86,17.53,bull
2025-09-17,002997,41.17,3.76,37.61,bull
2025-09-17,003016,8.14,0.12,7.77,bull
2025-09-17,003021,149.5,4.93,131.96,bull
2025-09-17,003028,34.19,2.77,31.36,bull
2025-09-17,003033,52.81,0.36,49.17,bull
2025-09-17,003041,24.17,-0.53,22.35,bull
2025-09-17,600017,3.25,0.31,3.13,bull
2025-09-17,600053,19.01,1.17,17.6,bull
2025-09-17,600114,33.5,10.02,28.05,bull
2025-09-17,600120,6.48,4.18,5.93,bull
2025-09-17,600148,20.68,0.93,19.65,bull
2025-09-17,600151,8.6,-1.26,8.01,bull
2025-09-17,600153,10.87,-0.28,10.34,bull
2025-09-17,600162,2.62,10.08,2.3,bull
2025-09-17,600170,3.53,9.97,2.94,bull
2025-09-17,600193,4.38,-1.35,4.12,bull
2025-09-17,600203,15.89,7.0,13.51,bull
2025-09-17,600212,8.51,-0.12,8.0,bull
2025-09-17,600215,7.54,-0.92,7.22,bull
2025-09-17,600226,4.1,0.74,3.76,bull
2025-09-17,600228,5.52,4.94,5.06,bull
2025-09-17,600231,2.22,0.0,2.05,bull
2025-09-17,600265,22.99,1.28,21.27,bull
2025-09-17,600280,3.68,-1.6,3.49,bull
2025-09-17,600303,3.83,0.0,3.61,bull
2025-09-17,600318,10.38,1.76,9.6,bull
2025-09-17,600368,4.47,-1.11,4.29,bull
2025-09-17,600376,7.34,10.04,5.99,bull
2025-09-17,600410,22.28,3.58,19.13,bull
2025-09-17,600423,3.72,1.36,3.5,bull
2025-09-17,600439,3.15,-0.63,3.03,bull
2025-09-17,600448,3.82,0.79,3.48,bull
2025-09-17,600480,14.94,4.48,13.34,bull
2025-09-17,600523,14.59,0.34,13.89,bull
2025-09-17,600525,4.1,1.99,3.79,bull
2025-09-17,600539,10.92,-0.55,10.27,bull
2025-09-17,600587,16.9,5.1,15.42,bull
2025-09-17,600594,4.4,-0.23,4.16,bull
2025-09-17,600617,2.99,1.01,2.8,bull
2025-09-17,600620,6.78,1.8,6.31,bull
2025-09-17,600626,4.62,-1.07,4.32,bull
2025-09-17,600624,7.34,-0.41,6.99,bull
2025-09-17,600630,8.72,-2.57,8.36,bull
2025-09-17,600629,18.19,-3.76,16.12,bull
2025-09-17,600635,4.85,6.59,4.25,bull
2025-09-17,600643,6.1,3.39,5.6,bull
2025-09-17,600660,73.25,2.56,68.69,bull
2025-09-17,600673,25.5,4.17,21.32,bull
2025-09-17,600676,6.06,1.0,5.62,bull
2025-09-17,600684,6.37,-1.55,5.85,bull
2025-09-17,600681,3.9,0.78,3.75,bull
2025-09-17,600692,8.56,-3.06,7.95,bull
2025-09-17,600699,33.53,10.01,31.36,bull
2025-09-17,600734,3.95,-1.25,3.73,bull
2025-09-17,600735,6.66,10.08,5.64,bull
2025-09-17,600736,5.92,0.34,5.64,bull
2025-09-17,600751,4.93,2.71,4.37,bull
2025-09-17,600749,22.38,2.15,19.36,bull
2025-09-17,600761,22.2,2.49,20.37,bull
2025-09-17,600787,6.26,-1.57,6.02,bull
2025-09-17,600794,4.55,-1.73,4.36,bull
2025-09-17,600815,2.89,-0.34,2.76,bull
2025-09-17,600816,3.55,9.91,3.2,bull
2025-09-17,600851,6.89,-1.01,6.54,bull
2025-09-17,600857,13.73,0.59,12.82,bull
2025-09-17,600860,12.4,-0.4,11.77,bull
2025-09-17,600869,7.44,2.34,6.63,bull
2025-09-17,600880,5.09,-0.39,4.9,bull
2025-09-17,600901,5.64,1.44,5.36,bull
2025-09-17,600929,6.02,-0.17,5.69,bull
2025-09-17,600933,22.72,-0.31,20.95,bull
2025-09-17,600938,26.13,1.16,25.31,bull
2025-09-17,600960,4.86,0.0,4.57,bull
2025-09-17,600979,4.95,0.0,4.74,bull
2025-09-17,600984,3.75,0.0,3.51,bull
2025-09-17,601001,14.11,5.53,12.47,bull
2025-09-17,601010,2.95,-2.32,2.77,bull
2025-09-17,601022,10.19,-0.2,9.67,bull
2025-09-17,601088,38.11,1.49,36.43,bull
2025-09-17,601099,5.1,-0.2,4.72,bull
2025-09-17,601100,96.96,4.1,87.8,bull
2025-09-17,601101,7.54,2.31,7.12,bull
2025-09-17,601111,8.09,2.15,7.67,bull
2025-09-17,601136,23.88,5.9,20.96,bull
2025-09-17,601177,19.9,0.71,18.51,bull
2025-09-17,601369,8.39,0.6,8.11,bull
2025-09-17,601512,9.52,1.38,8.74,bull
2025-09-17,601598,6.37,1.92,5.96,bull
2025-09-17,601608,5.47,1.48,5.11,bull
2025-09-17,601616,3.99,-0.25,3.85,bull
2025-09-17,601689,79.0,2.36,69.43,bull
2025-09-17,601718,3.88,-1.27,3.6,bull
2025-09-17,601799,126.43,1.64,120.87,bull
2025-09-17,601869,99.68,4.21,81.94,bull
2025-09-17,601882,21.78,0.55,20.58,bull
2025-09-17,601956,7.3,1.96,6.85,bull
2025-09-17,603009,57.15,5.42,50.57,bull
2025-09-17,603015,12.14,0.25,11.57,bull
2025-09-17,603013,27.48,9.96,23.11,bull
2025-09-17,603019,108.49,-2.68,97.38,bull
2025-09-17,603029,19.11,-0.21,18.16,bull
2025-09-17,603066,11.77,-1.09,11.28,bull
2025-09-17,603082,41.19,-0.46,39.29,bull
2025-09-17,603083,118.88,-0.81,105.03,bull
2025-09-17,603089,17.35,2.12,15.71,bull
2025-09-17,603088,11.68,2.01,10.46,bull
2025-09-17,603095,15.0,2.53,14.04,bull
2025-09-17,603112,17.38,-0.06,16.26,bull
2025-09-17,603117,5.7,-0.7,5.44,bull
2025-09-17,603121,18.37,-0.7,17.06,bull
2025-09-17,603125,17.16,0.35,16.26,bull
2025-09-17,603126,6.8,-1.02,6.53,bull
2025-09-17,603128,6.24,-1.73,6.09,bull
2025-09-17,603135,11.98,0.76,10.95,bull
2025-09-17,603165,14.14,3.67,12.9,bull
2025-09-17,603171,52.48,-1.04,47.13,bull
2025-09-17,603168,8.32,-1.19,7.81,bull
2025-09-17,603179,79.6,-1.0,70.01,bull
2025-09-17,603183,4.56,-0.87,4.36,bull
2025-09-17,603194,42.65,4.92,38.68,bull
2025-09-17,603190,23.87,-0.13,23.03,bull
2025-09-17,603199,38.77,-2.54,37.08,bull
2025-09-17,603208,15.34,1.25,14.7,bull
2025-09-17,603219,21.44,10.01,17.66,bull
2025-09-17,603223,9.76,-0.81,9.34,bull
2025-09-17,603236,102.48,1.28,93.46,bull
2025-09-17,603266,26.16,0.46,24.12,bull
2025-09-17,603277,18.24,1.79,16.91,bull
2025-09-17,603286,39.55,2.25,36.01,bull
2025-09-17,603289,10.94,0.37,10.23,bull
2025-09-17,603298,28.62,8.08,24.82,bull
2025-09-17,603305,17.23,-0.12,15.86,bull
2025-09-17,603307,40.79,0.34,39.28,bull
2025-09-17,603311,11.25,0.36,10.82,bull
2025-09-17,603331,11.07,-0.09,10.56,bull
2025-09-17,603337,50.91,1.01,46.71,bull
2025-09-17,603344,30.56,4.37,27.42,bull
2025-09-17,603348,22.88,0.44,21.75,bull
2025-09-17,603366,10.1,-0.98,9.46,bull
2025-09-17,603409,36.51,0.14,35.27,bull
2025-09-17,603398,6.85,-1.58,6.31,bull
2025-09-17,603421,6.85,2.39,6.33,bull
2025-09-17,603439,13.46,-0.37,12.91,bull
2025-09-17,603466,10.04,0.2,9.57,bull
2025-09-17,603486,105.0,7.02,90.56,bull
2025-09-17,603528,9.51,-1.35,8.8,bull
2025-09-17,603579,40.0,2.96,34.89,bull
2025-09-17,603583,46.31,2.27,41.8,bull
2025-09-17,603596,54.53,6.92,48.08,bull
2025-09-17,603607,24.72,1.9,22.93,bull
2025-09-17,603600,11.57,-3.42,11.07,bull
2025-09-17,603598,17.45,-1.69,16.49,bull
2025-09-17,603618,8.35,10.01,7.68,bull
2025-09-17,603611,25.32,-0.12,23.51,bull
2025-09-17,603626,16.09,9.98,13.17,bull
2025-09-17,603648,11.18,-0.62,10.79,bull
2025-09-17,603655,46.0,-0.82,42.25,bull
2025-09-17,603662,80.49,1.63,72.83,bull
2025-09-17,603666,35.42,0.34,33.7,bull
2025-09-17,603677,20.54,5.39,18.62,bull
2025-09-17,603686,19.11,-4.07,17.56,bull
2025-09-17,603683,31.0,3.64,26.99,bull
2025-09-17,603700,12.52,-1.26,11.98,bull
2025-09-17,603701,20.0,2.09,18.61,bull
2025-09-17,603718,7.15,-0.28,6.92,bull
2025-09-17,603728,78.14,-0.01,71.77,bull
2025-09-17,603730,6.11,2.0,5.75,bull
2025-09-17,603786,76.52,10.01,71.21,bull
2025-09-17,603788,17.49,0.69,16.49,bull
2025-09-17,603803,9.03,-1.1,8.6,bull
2025-09-17,603809,17.44,10.03,15.2,bull
2025-09-17,603819,12.27,-0.41,11.7,bull
2025-09-17,603829,23.24,-6.78,21.43,bull
2025-09-17,603836,14.18,-0.7,13.72,bull
2025-09-17,603838,7.71,2.12,6.94,bull
2025-09-17,603843,4.22,4.98,3.99,bull
2025-09-17,603859,46.93,-1.59,42.0,bull
2025-09-17,603890,13.75,1.1,12.88,bull
2025-09-17,603898,10.8,0.0,10.17,bull
2025-09-17,603901,11.17,1.09,10.38,bull
2025-09-17,603908,24.82,-0.88,23.8,bull
2025-09-17,603906,17.56,2.87,15.91,bull
2025-09-17,603915,18.27,4.94,16.25,bull
2025-09-17,603920,49.65,7.77,43.84,bull
2025-09-17,603926,17.52,-0.45,15.6,bull
2025-09-17,603936,14.05,-3.24,12.69,bull
2025-09-17,603933,16.89,0.42,15.95,bull
2025-09-17,603955,38.54,0.05,36.16,bull
2025-09-17,603950,37.31,0.59,32.97,bull
2025-09-17,603959,7.34,3.23,6.38,bull
2025-09-17,603980,6.4,9.97,5.48,bull
2025-09-17,603989,19.8,1.02,18.02,bull
2025-09-17,603997,12.35,0.73,11.66,bull
2025-09-17,605005,19.14,-0.21,18.18,bull
2025-09-17,605011,22.22,-1.81,21.26,bull
2025-09-17,605018,12.48,-1.03,11.66,bull
2025-09-17,605080,27.14,0.0,25.86,bull
2025-09-17,605133,48.6,1.19,43.21,bull
2025-09-17,605136,11.03,-1.52,10.23,bull
2025-09-17,605162,9.06,-0.22,8.76,bull
2025-09-17,605178,28.67,10.02,23.91,bull
2025-09-17,605198,47.1,-1.77,44.02,bull
2025-09-17,605218,23.35,0.04,22.11,bull
2025-09-17,605222,19.11,6.23,17.21,bull
2025-09-10,605255,75.94,10.01,71.18,bull
2025-09-17,605266,21.98,-0.09,21.26,bull
2025-09-17,605289,59.95,10.0,48.54,bull
2025-09-17,605299,9.83,0.72,9.23,bull
2025-09-17,605298,52.78,2.62,45.34,bull
2025-09-17,605318,35.65,-0.83,33.19,bull
2025-09-17,605319,26.18,-1.91,24.25,bull
2025-09-17,605376,56.52,4.4,48.87,bull
2025-09-17,605389,53.37,10.0,44.78,bull
2025-09-17,605555,18.48,2.1,17.2,bull
2025-09-17,605566,28.12,-0.85,26.02,bull
