日期,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-25,002833,15.87,0.25,60,谨慎做多,【1.5–2.0】1.55 → 下跌明显衰竭,【-0.5–0.5】0.35 → 资金观望,【>25】46 → 结构偏老,【0–2%】1.14% → 诱空假破位,"{'日期': '2025-10-21', '价格': 15.83, '动能值': -0.5984, 'obv': 68812809}","{'日期': '2025-12-24', '价格': 15.65, '动能值': -0.3858, 'obv': 69896191}"
2025-12-25,002850,156.6,4.05,90,强烈做多,【≥2.0】4.65 → 恐慌充分释放,【≥2.0】2.28 → 强力吸筹,【15–25】21 → 结构健康（理想）,【2–5%】3.05% → 正常破位,"{'日期': '2025-11-25', '价格': 152.68, '动能值': -17.2251, 'obv': 148039420}","{'日期': '2025-12-24', '价格': 148.03, '动能值': -3.7028, 'obv': 155933351}"
2025-12-25,002892,13.05,3.33,100,强烈做多,【≥2.0】3.54 → 恐慌充分释放,【≥2.0】5.15 → 强力吸筹,【15–25】21 → 结构健康（理想）,【2–5%】2.04% → 正常破位,"{'日期': '2025-11-25', '价格': 12.74, '动能值': -0.5441, 'obv': 1616522989}","{'日期': '2025-12-24', '价格': 12.48, '动能值': -0.1537, 'obv': 1654229729}"
2025-12-25,600037,7.29,0.0,40,谨慎做多,【1.2–1.5】1.3 → 下跌开始衰竭,【<-0.5】-1.89 → 资金流出,【15–25】19 → 结构健康（理想）,【2–5%】3.2% → 正常破位,"{'日期': '2025-11-27', '价格': 7.49, '动能值': -0.3537, 'obv': 753287525}","{'日期': '2025-12-24', '价格': 7.25, '动能值': -0.2711, 'obv': 726887467}"
2025-12-25,600173,7.19,0.7,60,谨慎做多,【≥2.0】2.5 → 恐慌充分释放,【0.5–2.0】1.86 → 资金承接,【>25】28 → 结构偏老,【>5%】10.83% → 深度破位（风险）,"{'日期': '2025-11-14', '价格': 7.85, '动能值': -1.4389, 'obv': 927587216}","{'日期': '2025-12-24', '价格': 7.0, '动能值': -0.5752, 'obv': 954681837}"
2025-12-25,600266,4.51,1.35,30,谨慎做多,【1.5–2.0】1.9 → 下跌明显衰竭,【<-0.5】-3.16 → 资金流出,【>25】31 → 结构偏老,【>5%】10.16% → 深度破位（风险）,"{'日期': '2025-11-11', '价格': 4.92, '动能值': -0.3947, 'obv': 1511888073}","{'日期': '2025-12-24', '价格': 4.42, '动能值': -0.2074, 'obv': 1416567506}"
2025-12-25,600421,7.2,1.41,60,谨慎做多,【≥2.0】2.25 → 恐慌充分释放,【<-0.5】-4.08 → 资金流出,【>25】52 → 结构偏老,【0–2%】0.14% → 诱空假破位,"{'日期': '2025-10-13', '价格': 7.06, '动能值': -0.7917, 'obv': 134215045}","{'日期': '2025-12-24', '价格': 7.05, '动能值': -0.3519, 'obv': 116253959}"
2025-12-25,600589,7.27,1.68,60,谨慎做多,【1.5–2.0】1.9 → 下跌明显衰竭,【≥2.0】6.76 → 强力吸筹,【>25】62 → 结构偏老,【>5%】7.43% → 深度破位（风险）,"{'日期': '2025-09-19', '价格': 7.67, '动能值': -0.9084, 'obv': 5138109478}","{'日期': '2025-12-24', '价格': 7.1, '动能值': -0.4772, 'obv': 5585844789}"
2025-12-25,600604,5.63,1.08,60,谨慎做多,【1.5–2.0】1.65 → 下跌明显衰竭,【≥2.0】2.73 → 强力吸筹,【>25】28 → 结构偏老,【>5%】9.5% → 深度破位（风险）,"{'日期': '2025-11-14', '价格': 6.0, '动能值': -0.6749, 'obv': 1396723284}","{'日期': '2025-12-24', '价格': 5.43, '动能值': -0.4079, 'obv': 1448895306}"
2025-12-25,600689,13.53,0.52,70,谨慎做多,【1.2–1.5】1.22 → 下跌开始衰竭,【≥2.0】5.45 → 强力吸筹,【>25】51 → 结构偏老,【0–2%】0.81% → 诱空假破位,"{'日期': '2025-10-14', '价格': 13.52, '动能值': -1.2522, 'obv': 440385220}","{'日期': '2025-12-24', '价格': 13.41, '动能值': -1.0245, 'obv': 462712867}"
2025-12-25,600892,3.61,4.94,40,谨慎做多,【1.2–1.5】1.3 → 下跌开始衰竭,【<-0.5】-2.87 → 资金流出,【15–25】21 → 结构健康（理想）,【>5%】5.48% → 深度破位（风险）,"{'日期': '2025-11-25', '价格': 3.47, '动能值': -0.3287, 'obv': 231766234}","{'日期': '2025-12-24', '价格': 3.28, '动能值': -0.2533, 'obv': 206079734}"
2025-12-25,603213,13.18,0.38,70,谨慎做多,【≥2.0】3.15 → 恐慌充分释放,【-0.5–0.5】0.31 → 资金观望,【>25】57 → 结构偏老,【0–2%】1.51% → 诱空假破位,"{'日期': '2025-09-26', '价格': 13.25, '动能值': -1.4995, 'obv': 92189407}","{'日期': '2025-12-24', '价格': 13.05, '动能值': -0.476, 'obv': 93075018}"
2025-12-25,603602,14.51,1.26,90,强烈做多,【≥2.0】2.91 → 恐慌充分释放,【≥2.0】2.48 → 强力吸筹,【>25】60 → 结构偏老,【0–2%】1.61% → 诱空假破位,"{'日期': '2025-09-23', '价格': 14.3, '动能值': -1.2734, 'obv': 483184154}","{'日期': '2025-12-24', '价格': 14.07, '动能值': -0.4373, 'obv': 495473891}"
2025-12-25,603950,29.84,2.97,60,谨慎做多,【≥2.0】3.84 → 恐慌充分释放,【0.5–2.0】1.55 → 资金承接,【>25】33 → 结构偏老,【>5%】8.47% → 深度破位（风险）,"{'日期': '2025-11-07', '价格': 31.39, '动能值': -4.4322, 'obv': 505750129}","{'日期': '2025-12-24', '价格': 28.73, '动能值': -1.1537, 'obv': 510398825}"
2025-12-25,605288,85.55,3.45,80,强烈做多,【1.5–2.0】1.6 → 下跌明显衰竭,【≥2.0】9.36 → 强力吸筹,【>25】46 → 结构偏老,【0–2%】0.68% → 诱空假破位,"{'日期': '2025-10-21', '价格': 82.2, '动能值': -25.7101, 'obv': 50688351}","{'日期': '2025-12-24', '价格': 81.64, '动能值': -16.0534, 'obv': 65724482}"
